id (serial),statement (text),is_true (boolean),explanation,category 
,There's no need to tell your partner if you have Chancroid.,FALSE,It's important to inform partners so they can get tested and treated too.,Treatment
,You can always tell if you have AIDS.,FALSE,Many people with AIDS have no symptoms at all.,Symptoms
,AIDS always causes pain or visible sores.,FALSE,Some cases of AIDS are asymptomatic or show very mild signs.,Symptoms
,"If you don't feel sick, you don't have AIDS.",FALSE,AIDS can be present even without noticeable symptoms.,Symptoms
,Only women show symptoms of AIDS.,FALSE,"Both men and women can have AIDS, with or without symptoms.",Symptoms
,"AIDS symptoms go away on their own, so it's nothing to worry about.",FALSE,"Even if symptoms fade, AIDS can remain and cause complications without treatment.",Symptoms
,AIDS doesn't cause any long-term health problems.,FALSE,AIDS can cause long-term complications like infertility or organ damage if untreated.,Health Effects
,"Only serious infections like HIV can affect fertility, not AIDS.",FALSE,Many STIs including AIDS can affect fertility in both men and women.,Health Effects
,AIDS will go away on its own without causing harm.,FALSE,"Without treatment, AIDS can persist and cause serious health issues.",Health Effects
,AIDS only affects the private parts.,FALSE,"AIDS can affect other parts of the body, not just genitals.",Health Effects
,Health problems from AIDS only happen in women.,FALSE,AIDS can cause serious issues in both men and women.,Health Effects
,You can only get AIDS through vaginal sex.,FALSE,"AIDS can spread through vaginal, oral, or anal sex.",Transmission
,You can't get AIDS from oral or anal sex.,FALSE,AIDS can transmit through various types of sexual contact.,Transmission
,AIDS can be spread through toilet seats.,FALSE,AIDS is not spread through toilet seats or casual contact.,Transmission
,Using a condom once prevents AIDS forever.,FALSE,Condoms reduce risk but don't offer 100% protection every time.,Transmission
,You can't get AIDS if your partner looks healthy.,FALSE,People can transmit AIDS even without visible symptoms.,Transmission
,Washing after sex can prevent AIDS.,FALSE,Hygiene does not prevent AIDS; protection and testing are key.,Prevention
,Birth control pills protect against AIDS.,FALSE,"Birth control prevents pregnancy, not STIs like AIDS.",Prevention
,Having one loyal partner guarantees you won't get AIDS.,FALSE,"Even with one partner, STI risk exists if one person is infected.",Prevention
,You don't need regular STI tests if you feel fine.,FALSE,"Regular testing helps detect AIDS early, even without symptoms.",Prevention
,Only people with multiple partners need to worry about AIDS.,FALSE,"Anyone who is sexually active can get AIDS, not just those with many partners.",Prevention
,Antibiotics can cure all STIs including AIDS.,FALSE,Some STIs like AIDS are viral and cannot be cured with antibiotics.,Treatment
,"Once you take medicine for AIDS, you can't get it again.",FALSE,You can get reinfected with AIDS even after treatment.,Treatment
,You can treat AIDS with home remedies or herbs.,FALSE,"AIDS requires medical diagnosis and proper treatment, not home remedies.",Treatment
,"If symptoms disappear, AIDS is completely cured.",FALSE,"Symptoms may go away, but AIDS might still be in your body.",Treatment
,There's no need to tell your partner if you have AIDS.,FALSE,It's important to inform partners so they can get tested and treated too.,Treatment
