id (serial),statement (text),is_true (boolean),explanation,category 
,Hanya wanita menunjukkan gejala Virus Kurang Daya Tahan Manusia (HIV).,FALSE,"Lelaki dan wanita sama-sama boleh menghidap Virus Kurang Daya Tahan Manusia (HIV), dengan atau tanpa gejala.",Gejala
,"Gejala Virus Kurang Daya Tahan Manusia (HIV) akan hilang sendiri, jadi tidak perlu risau.",FALSE,"Walaupun gejala reda, Virus Kurang Daya Tahan Manusia (HIV) boleh kekal dan menyebabkan komplikasi jika tidak dirawat.",Gejala
,Virus Kurang Daya Tahan Manusia (HIV) tidak menyebabkan masalah kesihatan jangka panjang.,FALSE,"Jika tidak dirawat, Virus Kurang Daya Tahan Manusia (HIV) boleh menyebabkan komplikasi jangka panjang seperti kemandulan atau kerosakan organ.",Kesan Kesihatan
,"Hanya jangkitan serius seperti HIV menjejaskan kesuburan, bukan Virus Kurang Daya Tahan Manusia (HIV).",FALSE,Banyak STI termasuk Virus Kurang Daya Tahan Manusia (HIV) boleh menjejaskan kesuburan lelaki dan wanita.,Kesan Kesihatan
,Virus Kurang Daya Tahan Manusia (HIV) akan hilang dengan sendiri tanpa memudaratkan.,FALSE,"Tanpa rawatan, Virus Kurang Daya Tahan Manusia (HIV) boleh berterusan dan menyebabkan masalah kesihatan serius.",Kesan Kesihatan
,Virus Kurang Daya Tahan Manusia (HIV) hanya menjejaskan bahagian sulit.,FALSE,Virus Kurang Daya Tahan Manusia (HIV) bukan sahaja menjejaskan alat kelamin tetapi juga bahagian tubuh lain.,Kesan Kesihatan
,Masalah kesihatan akibat Virus Kurang Daya Tahan Manusia (HIV) hanya berlaku kepada wanita.,FALSE,Virus Kurang Daya Tahan Manusia (HIV) boleh menimbulkan masalah serius kepada lelaki dan wanita.,Kesan Kesihatan
,Anda hanya boleh mendapat Virus Kurang Daya Tahan Manusia (HIV) melalui seks faraj.,FALSE,"Virus Kurang Daya Tahan Manusia (HIV) boleh merebak melalui seks faraj, oral atau anal.",Penularan
,Seks oral atau anal tidak akan menyebabkan Virus Kurang Daya Tahan Manusia (HIV).,FALSE,Virus Kurang Daya Tahan Manusia (HIV) boleh menular melalui pelbagai jenis hubungan seksual.,Penularan
,Virus Kurang Daya Tahan Manusia (HIV) boleh merebak melalui tempat duduk tandas.,FALSE,Virus Kurang Daya Tahan Manusia (HIV) tidak merebak melalui tempat duduk tandas atau sentuhan biasa.,Penularan
,Menggunakan kondom sekali sahaja sudah cukup untuk mencegah Virus Kurang Daya Tahan Manusia (HIV) selama-lamanya.,FALSE,Kondom mengurangkan risiko tetapi tidak memberi perlindungan 100% setiap kali.,Penularan
,"Jika pasangan kelihatan sihat, anda tidak akan mendapat Virus Kurang Daya Tahan Manusia (HIV).",FALSE,Orang boleh menularkan Virus Kurang Daya Tahan Manusia (HIV) walaupun tanpa gejala yang kelihatan.,Penularan
,Mencuci selepas seks boleh mencegah Virus Kurang Daya Tahan Manusia (HIV).,FALSE,Kebersihan tidak mencegah Virus Kurang Daya Tahan Manusia (HIV); perlindungan dan saringan ialah kuncinya.,Pencegahan
,Pil perancang kehamilan melindungi daripada Virus Kurang Daya Tahan Manusia (HIV).,FALSE,"Kawalan kehamilan mencegah kehamilan, bukan STI seperti Virus Kurang Daya Tahan Manusia (HIV).",Pencegahan
,Mempunyai seorang pasangan setia menjamin anda tidak akan mendapat Virus Kurang Daya Tahan Manusia (HIV).,FALSE,"Walaupun hanya ada seorang pasangan, risiko STI tetap wujud jika seorang dijangkiti.",Pencegahan
,"Jika anda rasa sihat, anda tidak perlu ujian STI berkala.",FALSE,Ujian berkala membantu mengesan Virus Kurang Daya Tahan Manusia (HIV) lebih awal walaupun tanpa gejala.,Pencegahan
,Hanya mereka yang mempunyai ramai pasangan perlu risau tentang Virus Kurang Daya Tahan Manusia (HIV).,FALSE,"Sesiapa yang aktif secara seksual boleh mendapat Virus Kurang Daya Tahan Manusia (HIV), bukan hanya mereka yang mempunyai ramai pasangan.",Pencegahan
,Antibiotik boleh menyembuhkan semua jangkitan kelamin termasuk Virus Kurang Daya Tahan Manusia (HIV).,FALSE,Sesetengah STI seperti Virus Kurang Daya Tahan Manusia (HIV) berpunca daripada virus dan tidak boleh disembuhkan dengan antibiotik.,Rawatan
,"Selepas menerima rawatan untuk Virus Kurang Daya Tahan Manusia (HIV), anda tidak akan mendapatnya lagi.",FALSE,Anda boleh dijangkiti semula Virus Kurang Daya Tahan Manusia (HIV) walaupun selepas rawatan.,Rawatan
,Rawatan tradisional atau herba boleh menyembuhkan Virus Kurang Daya Tahan Manusia (HIV).,FALSE,"Virus Kurang Daya Tahan Manusia (HIV) memerlukan diagnosis perubatan dan rawatan yang betul, bukan ubat tradisional.",Rawatan
,"Jika gejala hilang, Virus Kurang Daya Tahan Manusia (HIV) sudah sembuh sepenuhnya.",FALSE,"Gejala mungkin hilang, tetapi Virus Kurang Daya Tahan Manusia (HIV) mungkin masih berada dalam badan anda.",Rawatan
,Tidak perlu memaklumkan pasangan jika anda menghidap Virus Kurang Daya Tahan Manusia (HIV).,FALSE,Penting untuk memaklumkan pasangan supaya mereka juga boleh diuji dan dirawat.,Rawatan
,Anda sentiasa boleh tahu jika anda menghidap Sifilis.,FALSE,Ramai individu yang menghidap Sifilis langsung tidak bergejala.,Gejala
,Sifilis sentiasa menyebabkan kesakitan atau luka yang jelas.,FALSE,Sesetengah kes Sifilis tidak bergejala atau hanya menunjukkan tanda yang sangat ringan.,Gejala
,"Jika anda tidak berasa sakit, anda tidak menghidap Sifilis.",FALSE,Sifilis boleh wujud walaupun tanpa tanda yang jelas.,Gejala
,Hanya wanita menunjukkan gejala Sifilis.,FALSE,"Lelaki dan wanita sama-sama boleh menghidap Sifilis, dengan atau tanpa gejala.",Gejala
,"Gejala Sifilis akan hilang sendiri, jadi tidak perlu risau.",FALSE,"Walaupun gejala reda, Sifilis boleh kekal dan menyebabkan komplikasi jika tidak dirawat.",Gejala
,Sifilis tidak menyebabkan masalah kesihatan jangka panjang.,FALSE,"Jika tidak dirawat, Sifilis boleh menyebabkan komplikasi jangka panjang seperti kemandulan atau kerosakan organ.",Kesan Kesihatan
,"Hanya jangkitan serius seperti HIV menjejaskan kesuburan, bukan Sifilis.",FALSE,Banyak STI termasuk Sifilis boleh menjejaskan kesuburan lelaki dan wanita.,Kesan Kesihatan
,Sifilis akan hilang dengan sendiri tanpa memudaratkan.,FALSE,"Tanpa rawatan, Sifilis boleh berterusan dan menyebabkan masalah kesihatan serius.",Kesan Kesihatan
,Sifilis hanya menjejaskan bahagian sulit.,FALSE,Sifilis bukan sahaja menjejaskan alat kelamin tetapi juga bahagian tubuh lain.,Kesan Kesihatan
,Masalah kesihatan akibat Sifilis hanya berlaku kepada wanita.,FALSE,Sifilis boleh menimbulkan masalah serius kepada lelaki dan wanita.,Kesan Kesihatan
,Anda hanya boleh mendapat Sifilis melalui seks faraj.,FALSE,"Sifilis boleh merebak melalui seks faraj, oral atau anal.",Penularan
,Seks oral atau anal tidak akan menyebabkan Sifilis.,FALSE,Sifilis boleh menular melalui pelbagai jenis hubungan seksual.,Penularan
,Sifilis boleh merebak melalui tempat duduk tandas.,FALSE,Sifilis tidak merebak melalui tempat duduk tandas atau sentuhan biasa.,Penularan
,Menggunakan kondom sekali sahaja sudah cukup untuk mencegah Sifilis selama-lamanya.,FALSE,Kondom mengurangkan risiko tetapi tidak memberi perlindungan 100% setiap kali.,Penularan
,"Jika pasangan kelihatan sihat, anda tidak akan mendapat Sifilis.",FALSE,Orang boleh menularkan Sifilis walaupun tanpa gejala yang kelihatan.,Penularan
,Mencuci selepas seks boleh mencegah Sifilis.,FALSE,Kebersihan tidak mencegah Sifilis; perlindungan dan saringan ialah kuncinya.,Pencegahan
,Pil perancang kehamilan melindungi daripada Sifilis.,FALSE,"Kawalan kehamilan mencegah kehamilan, bukan STI seperti Sifilis.",Pencegahan
,Mempunyai seorang pasangan setia menjamin anda tidak akan mendapat Sifilis.,FALSE,"Walaupun hanya ada seorang pasangan, risiko STI tetap wujud jika seorang dijangkiti.",Pencegahan
,"Jika anda rasa sihat, anda tidak perlu ujian STI berkala.",FALSE,Ujian berkala membantu mengesan Sifilis lebih awal walaupun tanpa gejala.,Pencegahan
,Hanya mereka yang mempunyai ramai pasangan perlu risau tentang Sifilis.,FALSE,"Sesiapa yang aktif secara seksual boleh mendapat Sifilis, bukan hanya mereka yang mempunyai ramai pasangan.",Pencegahan
,Antibiotik boleh menyembuhkan semua jangkitan kelamin termasuk Sifilis.,FALSE,Sesetengah STI seperti Sifilis berpunca daripada virus dan tidak boleh disembuhkan dengan antibiotik.,Rawatan
,"Selepas menerima rawatan untuk Sifilis, anda tidak akan mendapatnya lagi.",FALSE,Anda boleh dijangkiti semula Sifilis walaupun selepas rawatan.,Rawatan
,Rawatan tradisional atau herba boleh menyembuhkan Sifilis.,FALSE,"Sifilis memerlukan diagnosis perubatan dan rawatan yang betul, bukan ubat tradisional.",Rawatan
,"Jika gejala hilang, Sifilis sudah sembuh sepenuhnya.",FALSE,"Gejala mungkin hilang, tetapi Sifilis mungkin masih berada dalam badan anda.",Rawatan
,Tidak perlu memaklumkan pasangan jika anda menghidap Sifilis.,FALSE,Penting untuk memaklumkan pasangan supaya mereka juga boleh diuji dan dirawat.,Rawatan
,Anda sentiasa boleh tahu jika anda menghidap Kankroid.,FALSE,Ramai individu yang menghidap Kankroid langsung tidak bergejala.,Gejala
,Kankroid sentiasa menyebabkan kesakitan atau luka yang jelas.,FALSE,Sesetengah kes Kankroid tidak bergejala atau hanya menunjukkan tanda yang sangat ringan.,Gejala
,"Jika anda tidak berasa sakit, anda tidak menghidap Kankroid.",FALSE,Kankroid boleh wujud walaupun tanpa tanda yang jelas.,Gejala
,Hanya wanita menunjukkan gejala Kankroid.,FALSE,"Lelaki dan wanita sama-sama boleh menghidap Kankroid, dengan atau tanpa gejala.",Gejala
,"Gejala Kankroid akan hilang sendiri, jadi tidak perlu risau.",FALSE,"Walaupun gejala reda, Kankroid boleh kekal dan menyebabkan komplikasi jika tidak dirawat.",Gejala
,Kankroid tidak menyebabkan masalah kesihatan jangka panjang.,FALSE,"Jika tidak dirawat, Kankroid boleh menyebabkan komplikasi jangka panjang seperti kemandulan atau kerosakan organ.",Kesan Kesihatan
,"Hanya jangkitan serius seperti HIV menjejaskan kesuburan, bukan Kankroid.",FALSE,Banyak STI termasuk Kankroid boleh menjejaskan kesuburan lelaki dan wanita.,Kesan Kesihatan
,Kankroid akan hilang dengan sendiri tanpa memudaratkan.,FALSE,"Tanpa rawatan, Kankroid boleh berterusan dan menyebabkan masalah kesihatan serius.",Kesan Kesihatan
,Kankroid hanya menjejaskan bahagian sulit.,FALSE,Kankroid bukan sahaja menjejaskan alat kelamin tetapi juga bahagian tubuh lain.,Kesan Kesihatan
,Masalah kesihatan akibat Kankroid hanya berlaku kepada wanita.,FALSE,Kankroid boleh menimbulkan masalah serius kepada lelaki dan wanita.,Kesan Kesihatan
,Anda hanya boleh mendapat Kankroid melalui seks faraj.,FALSE,"Kankroid boleh merebak melalui seks faraj, oral atau anal.",Penularan
,Seks oral atau anal tidak akan menyebabkan Kankroid.,FALSE,Kankroid boleh menular melalui pelbagai jenis hubungan seksual.,Penularan
,Kankroid boleh merebak melalui tempat duduk tandas.,FALSE,Kankroid tidak merebak melalui tempat duduk tandas atau sentuhan biasa.,Penularan
,Menggunakan kondom sekali sahaja sudah cukup untuk mencegah Kankroid selama-lamanya.,FALSE,Kondom mengurangkan risiko tetapi tidak memberi perlindungan 100% setiap kali.,Penularan
,"Jika pasangan kelihatan sihat, anda tidak akan mendapat Kankroid.",FALSE,Orang boleh menularkan Kankroid walaupun tanpa gejala yang kelihatan.,Penularan
,Mencuci selepas seks boleh mencegah Kankroid.,FALSE,Kebersihan tidak mencegah Kankroid; perlindungan dan saringan ialah kuncinya.,Pencegahan
,Pil perancang kehamilan melindungi daripada Kankroid.,FALSE,"Kawalan kehamilan mencegah kehamilan, bukan STI seperti Kankroid.",Pencegahan
,Mempunyai seorang pasangan setia menjamin anda tidak akan mendapat Kankroid.,FALSE,"Walaupun hanya ada seorang pasangan, risiko STI tetap wujud jika seorang dijangkiti.",Pencegahan
,"Jika anda rasa sihat, anda tidak perlu ujian STI berkala.",FALSE,Ujian berkala membantu mengesan Kankroid lebih awal walaupun tanpa gejala.,Pencegahan
,Hanya mereka yang mempunyai ramai pasangan perlu risau tentang Kankroid.,FALSE,"Sesiapa yang aktif secara seksual boleh mendapat Kankroid, bukan hanya mereka yang mempunyai ramai pasangan.",Pencegahan
,Antibiotik boleh menyembuhkan semua jangkitan kelamin termasuk Kankroid.,FALSE,Sesetengah STI seperti Kankroid berpunca daripada virus dan tidak boleh disembuhkan dengan antibiotik.,Rawatan
,"Selepas menerima rawatan untuk Kankroid, anda tidak akan mendapatnya lagi.",FALSE,Anda boleh dijangkiti semula Kankroid walaupun selepas rawatan.,Rawatan
,Rawatan tradisional atau herba boleh menyembuhkan Kankroid.,FALSE,"Kankroid memerlukan diagnosis perubatan dan rawatan yang betul, bukan ubat tradisional.",Rawatan
,"Jika gejala hilang, Kankroid sudah sembuh sepenuhnya.",FALSE,"Gejala mungkin hilang, tetapi Kankroid mungkin masih berada dalam badan anda.",Rawatan
,Tidak perlu memaklumkan pasangan jika anda menghidap Kankroid.,FALSE,Penting untuk memaklumkan pasangan supaya mereka juga boleh diuji dan dirawat.,Rawatan
,Anda sentiasa boleh tahu jika anda menghidap AIDS.,FALSE,Ramai individu yang menghidap AIDS langsung tidak bergejala.,Gejala
,AIDS sentiasa menyebabkan kesakitan atau luka yang jelas.,FALSE,Sesetengah kes AIDS tidak bergejala atau hanya menunjukkan tanda yang sangat ringan.,Gejala
,"Jika anda tidak berasa sakit, anda tidak menghidap AIDS.",FALSE,AIDS boleh wujud walaupun tanpa tanda yang jelas.,Gejala
,Hanya wanita menunjukkan gejala AIDS.,FALSE,"Lelaki dan wanita sama-sama boleh menghidap AIDS, dengan atau tanpa gejala.",Gejala
,"Gejala AIDS akan hilang sendiri, jadi tidak perlu risau.",FALSE,"Walaupun gejala reda, AIDS boleh kekal dan menyebabkan komplikasi jika tidak dirawat.",Gejala
,AIDS tidak menyebabkan masalah kesihatan jangka panjang.,FALSE,"Jika tidak dirawat, AIDS boleh menyebabkan komplikasi jangka panjang seperti kemandulan atau kerosakan organ.",Kesan Kesihatan
,"Hanya jangkitan serius seperti HIV menjejaskan kesuburan, bukan AIDS.",FALSE,Banyak STI termasuk AIDS boleh menjejaskan kesuburan lelaki dan wanita.,Kesan Kesihatan
,AIDS akan hilang dengan sendiri tanpa memudaratkan.,FALSE,"Tanpa rawatan, AIDS boleh berterusan dan menyebabkan masalah kesihatan serius.",Kesan Kesihatan
,AIDS hanya menjejaskan bahagian sulit.,FALSE,AIDS bukan sahaja menjejaskan alat kelamin tetapi juga bahagian tubuh lain.,Kesan Kesihatan
,Masalah kesihatan akibat AIDS hanya berlaku kepada wanita.,FALSE,AIDS boleh menimbulkan masalah serius kepada lelaki dan wanita.,Kesan Kesihatan
,Anda hanya boleh mendapat AIDS melalui seks faraj.,FALSE,"AIDS boleh merebak melalui seks faraj, oral atau anal.",Penularan
,Seks oral atau anal tidak akan menyebabkan AIDS.,FALSE,AIDS boleh menular melalui pelbagai jenis hubungan seksual.,Penularan
,AIDS boleh merebak melalui tempat duduk tandas.,FALSE,AIDS tidak merebak melalui tempat duduk tandas atau sentuhan biasa.,Penularan
,Menggunakan kondom sekali sahaja sudah cukup untuk mencegah AIDS selama-lamanya.,FALSE,Kondom mengurangkan risiko tetapi tidak memberi perlindungan 100% setiap kali.,Penularan
,"Jika pasangan kelihatan sihat, anda tidak akan mendapat AIDS.",FALSE,Orang boleh menularkan AIDS walaupun tanpa gejala yang kelihatan.,Penularan
,Mencuci selepas seks boleh mencegah AIDS.,FALSE,Kebersihan tidak mencegah AIDS; perlindungan dan saringan ialah kuncinya.,Pencegahan
,Pil perancang kehamilan melindungi daripada AIDS.,FALSE,"Kawalan kehamilan mencegah kehamilan, bukan STI seperti AIDS.",Pencegahan
,Mempunyai seorang pasangan setia menjamin anda tidak akan mendapat AIDS.,FALSE,"Walaupun hanya ada seorang pasangan, risiko STI tetap wujud jika seorang dijangkiti.",Pencegahan
,"Jika anda rasa sihat, anda tidak perlu ujian STI berkala.",FALSE,Ujian berkala membantu mengesan AIDS lebih awal walaupun tanpa gejala.,Pencegahan
,Hanya mereka yang mempunyai ramai pasangan perlu risau tentang AIDS.,FALSE,"Sesiapa yang aktif secara seksual boleh mendapat AIDS, bukan hanya mereka yang mempunyai ramai pasangan.",Pencegahan
,Antibiotik boleh menyembuhkan semua jangkitan kelamin termasuk AIDS.,FALSE,Sesetengah STI seperti AIDS berpunca daripada virus dan tidak boleh disembuhkan dengan antibiotik.,Rawatan
,"Selepas menerima rawatan untuk AIDS, anda tidak akan mendapatnya lagi.",FALSE,Anda boleh dijangkiti semula AIDS walaupun selepas rawatan.,Rawatan
,Rawatan tradisional atau herba boleh menyembuhkan AIDS.,FALSE,"AIDS memerlukan diagnosis perubatan dan rawatan yang betul, bukan ubat tradisional.",Rawatan
,"Jika gejala hilang, AIDS sudah sembuh sepenuhnya.",FALSE,"Gejala mungkin hilang, tetapi AIDS mungkin masih berada dalam badan anda.",Rawatan
,Tidak perlu memaklumkan pasangan jika anda menghidap AIDS.,FALSE,Penting untuk memaklumkan pasangan supaya mereka juga boleh diuji dan dirawat.,Rawatan
